,SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,INCTIME,FIRSTINC,BONUS,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,TYPE2,STATUS2,DATE2,NCALLS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,INCTIME2,FIRSTIN2,SPECIAL2,MEALS2,OPEN2R,HRSOPEN2,PSODA2,PFRY2,PENTREE2,NREGS2,NREGS112,EMPTOT,EMPTOT2,DEMP,PCHEMPC,DWAGE,PCHWAGE,GAP,NJ,BK,KFC,ROYS,WENDYS,PMEAL,PMEAL2,DPMEAL,CLOSED,FRACFT,FRACFT2,ATMIN,NEWMIN,ICODE
19,489,3,0,0,0,0,0,0,1,0,2,5.0,23.0,2.0,5.0,13.0,0.37,1,6.0,2,7.0,14.0,1.05,1.01,0.94,4.0,4.0,1,1,111892,2.0,2.0,19.0,3.0,4.25,26.0,0.13,0.0,2.0,10.0,11.5,1.01,1.01,1.05,6.0,3.0,18.5,14.5,-4.0,-0.24242424242424243,-0.75,-0.15,0.0,0,0,0,1,0,3.0,3.0700000000000003,0.07000000000000028,0,0.2702702702702703,0.13793103448275862,0,0,PA STORE
20,490,3,1,0,0,0,0,0,1,0,0,10.0,12.5,4.0,5.0,13.0,0.12,0,0.0,2,6.0,16.0,1.05,1.01,1.05,4.0,4.0,1,1,111692,1.0,2.0,18.0,3.0,5.0,26.0,0.28,0.0,2.0,6.0,16.0,1.01,1.01,1.05,5.0,3.0,20.25,14.0,-6.25,-0.36496350364963503,0.0,0.0,0.0,0,0,0,1,0,3.1100000000000003,3.0700000000000003,-0.040000000000000036,0,0.49382716049382713,0.14285714285714285,0,0,PA STORE
21,493,3,1,0,0,0,0,1,0,0,0,27.0,12.0,3.0,5.0,26.0,0.25,0,0.0,2,6.0,16.0,1.05,0.9,2.01,6.0,3.0,1,1,111192,,0.0,30.0,4.0,4.9,13.0,0.25,0.0,2.0,6.0,16.0,1.02,1.01,0.84,3.0,3.0,36.0,19.0,-17.0,-0.6181818181818182,-0.09999999999999964,-0.019999999999999928,0.0,0,0,0,1,0,3.96,2.87,-1.0899999999999999,0,0.75,0.0,0,0,PA STORE
22,495,3,0,0,0,0,0,0,1,0,2,4.0,28.0,3.0,5.0,26.0,0.25,0,2.0,2,7.0,15.0,1.05,1.01,0.94,3.0,3.0,1,1,111192,,8.0,20.0,3.0,5.0,26.0,0.25,1.0,2.0,6.0,16.0,0.96,1.01,1.01,5.0,3.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,3.0,2.98,-0.020000000000000018,0,0.19047619047619047,0.38095238095238093,0,0,PA STORE
23,496,3,1,0,0,0,0,0,1,0,0,10.0,15.0,3.0,5.0,13.0,0.17,1,0.0,2,6.0,16.0,1.05,0.9,0.73,5.0,3.0,1,1,111192,,10.0,10.0,3.0,4.75,19.0,0.18,0.0,2.0,6.0,16.0,1.01,1.01,0.89,,,20.5,18.0,-2.5,-0.12987012987012986,-0.25,-0.05,0.0,0,0,0,1,0,2.68,2.91,0.22999999999999998,0,0.4878048780487805,0.5555555555555556,0,0,PA STORE
24,499,4,1,0,0,0,0,0,1,0,0,0.0,28.0,5.0,5.0,26.0,0.07,1,11.0,2,10.0,12.0,0.9,0.69,1.75,2.0,2.0,1,1,111492,1.0,0.0,31.0,5.0,5.0,26.0,0.1,1.0,2.0,10.0,12.0,0.9,0.69,0.94,2.0,2.0,19.0,20.5,1.5,0.0759493670886076,0.0,0.0,0.0,0,0,0,0,1,3.34,2.53,-0.81,0,0.0,0.0,0,0,PA STORE
25,509,3,1,0,0,0,0,0,1,0,2,3.0,16.0,3.0,5.0,13.0,0.25,0,30.0,2,6.0,16.0,1.05,0.95,1.16,6.0,3.0,1,1,111192,,5.5,10.0,3.0,4.25,26.0,0.2,0.0,2.0,6.5,15.5,1.0,1.01,0.94,3.0,2.0,14.0,13.5,-0.5,-0.03636363636363636,-0.75,-0.15,0.0,0,0,0,1,0,3.16,2.9499999999999997,-0.2100000000000004,0,0.21428571428571427,0.4074074074074074,0,0,PA STORE
26,515,3,1,0,0,0,0,0,1,0,0,7.0,16.0,4.0,5.0,13.0,0.2,0,33.0,2,6.0,16.0,1.05,0.94,1.16,5.0,3.0,1,1,111192,,5.0,19.0,3.0,4.75,13.0,0.18,0.0,2.0,6.0,16.0,1.01,1.01,0.94,5.0,4.0,19.0,17.5,-1.5,-0.0821917808219178,-0.25,-0.05,0.0,0,0,0,1,0,3.15,2.96,-0.18999999999999995,0,0.3684210526315789,0.2857142857142857,0,0,PA STORE
27,37,1,0,0,0,0,0,1,0,0,2,21.0,9.0,7.0,4.25,4.0,0.25,0,33.0,2,6.5,16.5,0.98,0.84,0.84,5.0,3.0,1,1,111092,,6.0,25.0,7.0,4.25,52.0,0.18,0.0,2.0,6.5,16.5,0.98,0.84,0.86,6.0,3.0,32.5,25.5,-7.0,-0.2413793103448276,0.0,0.0,0.0,0,1,0,0,0,2.6599999999999997,2.6799999999999997,0.020000000000000018,0,0.6461538461538462,0.23529411764705882,1,0,PA STORE
28,39,1,0,0,0,0,0,1,0,0,0,1.0,32.0,2.0,4.25,8.0,,0,100.0,2,6.5,17.5,1.03,0.73,0.52,4.0,2.0,1,1,111792,,5.0,15.0,3.0,,,,0.0,2.0,6.5,16.5,1.05,,0.63,4.0,2.0,19.0,15.5,-3.5,-0.2028985507246377,,,0.0,0,1,0,0,0,2.2800000000000002,,,0,0.05263157894736842,0.3225806451612903,1,0,PA STORE
29,40,1,0,0,0,0,0,1,0,0,0,10.0,20.0,7.0,4.25,4.0,0.15,0,100.0,2,6.5,16.5,0.98,0.82,0.8,3.0,3.0,1,1,111092,,7.0,25.0,6.0,4.25,8.0,0.13,0.0,2.0,6.5,17.5,0.98,0.82,0.87,3.0,2.0,27.0,25.5,-1.5,-0.05714285714285714,0.0,0.0,0.0,0,1,0,0,0,2.5999999999999996,2.67,0.07000000000000028,0,0.37037037037037035,0.27450980392156865,1,0,PA STORE
30,41,1,0,0,0,0,0,1,0,0,0,0.0,27.0,6.0,4.25,18.0,0.2,0,100.0,2,6.5,16.5,0.98,0.82,0.85,3.0,3.0,1,1,111892,2.0,0.0,42.0,6.0,4.25,,,0.0,2.0,6.5,17.5,0.94,0.78,0.91,3.0,2.0,19.5,27.0,7.5,0.3225806451612903,0.0,0.0,0.0,0,1,0,0,0,2.65,2.63,-0.020000000000000018,0,0.0,0.0,1,0,PA STORE
31,42,1,0,0,0,0,0,1,0,0,2,17.0,4.0,5.0,4.5,,,0,100.0,2,6.5,16.5,0.98,0.83,0.86,3.0,3.0,1,1,111792,1.0,0.0,22.0,5.0,4.25,26.0,0.25,0.0,2.0,6.5,16.5,0.94,,,3.0,2.0,24.0,16.0,-8.0,-0.4,-0.25,-0.05555555555555555,0.0,0,1,0,0,0,2.67,,,0,0.7083333333333334,0.0,0,0,PA STORE
32,45,1,0,0,0,0,0,1,0,0,0,0.0,24.0,6.0,4.25,2.0,0.25,0,25.0,2,7.0,16.0,0.98,0.83,0.86,3.0,3.0,1,1,111092,,11.0,12.0,2.0,4.25,26.0,0.15,0.0,3.0,6.5,17.5,0.98,0.75,0.86,3.0,3.0,18.0,19.0,1.0,0.05405405405405406,0.0,0.0,0.0,0,1,0,0,0,2.67,2.59,-0.08000000000000007,0,0.0,0.5789473684210527,1,0,PA STORE
33,47,1,0,0,0,0,0,1,0,0,2,25.0,15.0,,4.5,4.0,0.17,0,75.0,2,6.0,17.0,1.05,0.86,0.86,3.0,3.0,1,1,111092,,0.0,45.0,2.0,4.25,,,0.0,2.0,6.0,18.0,1.05,0.86,0.86,3.0,,,24.5,,,-0.25,-0.05555555555555555,0.0,0,1,0,0,0,2.77,2.77,0.0,0,,0.0,0,0,PA STORE
34,48,1,0,0,0,0,0,1,0,0,0,6.0,20.0,3.0,4.25,13.0,0.2,1,31.0,3,7.0,14.0,1.01,0.84,0.63,4.0,3.0,1,1,111092,,7.5,25.0,5.0,4.38,13.0,0.25,1.0,3.0,7.0,14.0,0.98,0.79,0.87,4.0,3.0,19.0,25.0,6.0,0.2727272727272727,0.1299999999999999,0.03058823529411762,0.0,0,1,0,0,0,2.48,2.64,0.16000000000000014,0,0.3157894736842105,0.3,1,0,PA STORE
35,50,2,0,0,0,0,0,1,0,0,0,6.0,10.0,3.0,4.5,13.0,,0,20.0,2,10.0,12.0,1.01,0.89,3.5,4.0,3.0,1,1,111292,,4.0,20.0,3.0,4.75,13.0,0.1,0.0,2.0,10.0,13.0,1.01,0.89,2.35,4.0,3.0,14.0,17.0,3.0,0.1935483870967742,0.25,0.05555555555555555,0.0,0,0,1,0,0,5.4,4.25,-1.1500000000000004,0,0.42857142857142855,0.23529411764705882,0,0,PA STORE
36,51,2,0,0,0,0,0,1,0,0,1,0.0,15.0,3.0,4.25,,0.15,0,100.0,2,10.0,13.0,1.01,0.89,2.35,4.0,3.0,1,1,111792,2.0,6.0,15.0,3.0,4.25,,,0.0,2.0,10.0,13.0,1.0,0.89,2.35,5.0,3.0,10.5,16.5,6.0,0.4444444444444444,0.0,0.0,0.0,0,0,1,0,0,4.25,4.24,-0.009999999999999787,0,0.0,0.36363636363636365,1,0,PA STORE
37,57,4,1,0,0,0,0,1,0,0,0,30.0,10.0,3.0,4.67,26.0,0.07,1,70.0,2,10.0,12.0,0.87,0.79,0.9,2.0,2.0,1,1,111492,1.0,7.0,18.0,4.0,4.5,26.0,0.13,1.0,2.0,10.0,12.0,1.01,0.78,0.9,2.0,2.0,38.0,20.0,-18.0,-0.6206896551724138,-0.16999999999999993,-0.036402569593147735,0.0,0,0,0,0,1,2.56,2.69,0.1299999999999999,0,0.7894736842105263,0.35,0,0,PA STORE
38,58,4,1,0,0,0,0,1,0,0,2,8.0,25.0,3.0,4.75,26.0,0.15,0,80.0,2,10.0,12.0,0.87,0.77,1.01,2.0,2.0,1,1,111492,2.0,0.0,28.0,4.0,4.5,26.0,0.08,1.0,2.0,10.0,12.0,1.04,0.84,0.94,2.0,2.0,23.5,18.0,-5.5,-0.26506024096385544,-0.25,-0.05263157894736842,0.0,0,0,0,0,1,2.6500000000000004,2.82,0.16999999999999948,0,0.3404255319148936,0.0,0,0,PA STORE
39,59,4,0,0,0,0,0,1,0,0,3,0.0,15.0,3.0,4.25,26.0,0.1,0,90.0,1,7.5,10.5,0.91,0.89,0.81,2.0,2.0,1,1,111492,1.0,0.0,16.0,4.0,4.25,26.0,0.1,0.0,1.0,7.5,10.5,1.01,0.84,0.86,2.0,2.0,10.5,12.0,1.5,0.13333333333333333,0.0,0.0,0.0,0,0,0,0,1,2.6100000000000003,2.71,0.09999999999999964,0,0.0,0.0,1,0,PA STORE
40,60,4,0,0,0,0,0,1,0,0,0,10.0,20.0,5.0,4.25,4.0,0.1,0,75.0,1,10.5,11.5,0.94,0.74,0.86,2.0,2.0,1,1,111792,2.0,10.0,20.0,5.0,4.25,4.0,0.25,0.0,1.0,10.0,12.0,0.98,0.84,0.86,2.0,2.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.54,2.6799999999999997,0.13999999999999968,0,0.4,0.4,1,0,PA STORE
41,407,2,1,0,0,0,0,0,1,0,0,2.0,12.0,3.0,4.75,52.0,0.12,0,90.0,3,11.0,10.0,0.95,0.74,2.33,4.0,3.0,1,1,111492,,1.0,14.0,3.0,4.25,4.0,0.3,0.0,1.0,11.0,11.0,0.95,0.84,2.53,4.0,3.0,11.0,11.0,0.0,0.0,-0.5,-0.10526315789473684,0.0,0,0,1,0,0,4.02,4.32,0.3000000000000007,0,0.18181818181818182,0.09090909090909091,0,0,PA STORE
42,430,1,0,0,0,0,0,1,0,0,0,20.0,25.0,4.0,4.25,13.0,0.15,0,44.0,2,7.0,15.0,0.95,0.75,0.8,3.0,3.0,1,1,110792,,0.0,48.0,3.0,4.25,26.0,0.13,0.0,2.0,7.0,16.0,0.91,0.73,0.75,3.0,3.0,36.5,27.0,-9.5,-0.2992125984251969,0.0,0.0,0.0,0,1,0,0,0,2.5,2.39,-0.10999999999999988,0,0.547945205479452,0.0,1,0,PA STORE
43,432,1,0,0,0,0,0,1,0,0,0,20.0,55.0,5.0,4.5,17.0,0.15,0,75.0,2,7.0,16.0,0.94,0.74,0.79,4.0,3.0,1,1,110792,1.0,25.0,10.0,4.0,5.05,26.0,0.2,0.0,2.0,7.0,16.0,0.94,0.74,0.79,3.0,1.0,52.5,34.0,-18.5,-0.4277456647398844,0.5499999999999998,0.12222222222222218,0.0,0,1,0,0,0,2.4699999999999998,2.4699999999999998,0.0,0,0.38095238095238093,0.7352941176470589,0,1,PA STORE
44,433,1,0,0,0,0,0,1,0,0,0,10.0,30.0,4.0,4.25,13.0,0.15,0,75.0,2,7.0,16.0,0.95,0.73,0.8,3.0,3.0,2,1,123092,6.0,0.0,42.0,4.0,,,,0.0,2.0,7.0,16.0,0.94,0.74,0.74,3.0,3.0,29.0,25.0,-4.0,-0.14814814814814814,,,0.0,0,1,0,0,0,2.48,2.42,-0.06000000000000005,0,0.3448275862068966,0.0,1,0,PA STORE
45,434,1,0,0,0,0,0,1,0,0,2,15.0,50.0,5.0,4.25,6.0,0.25,0,77.0,2,7.0,16.0,0.95,0.75,,3.0,3.0,1,1,111692,,19.0,29.0,4.0,4.25,,,0.0,2.0,7.0,16.0,0.95,0.8,0.8,3.0,3.0,45.0,37.5,-7.5,-0.18181818181818182,0.0,0.0,0.0,0,1,0,0,0,,2.55,,0,0.3333333333333333,0.5066666666666667,1,0,PA STORE
46,435,1,0,0,0,0,0,1,0,0,1,1.0,37.5,3.0,4.25,4.0,0.17,1,25.0,2,6.5,15.5,0.95,0.75,0.79,3.0,3.0,1,1,110792,,0.0,32.0,5.0,4.25,6.0,0.15,1.0,2.0,6.5,15.5,0.94,0.74,0.79,3.0,2.0,22.75,21.0,-1.75,-0.08,0.0,0.0,0.0,0,1,0,0,0,2.49,2.4699999999999998,-0.020000000000000462,0,0.04395604395604396,0.0,1,0,PA STORE
47,438,2,0,0,0,0,0,1,0,0,2,0.0,9.0,3.0,4.25,52.0,0.07,0,11.0,2,11.0,8.0,1.01,0.84,2.43,2.0,1.0,1,1,111292,,2.0,9.0,3.0,4.25,52.0,0.05,0.0,2.0,11.0,9.0,0.95,0.84,2.43,2.0,1.0,7.5,9.5,2.0,0.23529411764705882,0.0,0.0,0.0,0,0,1,0,0,4.28,4.220000000000001,-0.05999999999999961,0,0.0,0.21052631578947367,1,0,PA STORE
48,440,4,0,0,0,0,0,1,0,0,2,0.0,25.0,3.0,4.25,19.0,0.15,0,100.0,2,10.5,11.5,0.89,0.79,2.01,2.0,2.0,1,1,111392,,0.0,30.0,3.0,,,,0.0,2.0,10.5,11.5,1.0,0.8,1.8,2.0,2.0,15.5,18.0,2.5,0.14925373134328357,,,0.0,0,0,0,0,1,3.69,3.6,-0.08999999999999986,0,0.0,0.0,1,0,PA STORE
49,441,4,0,0,0,0,0,1,0,0,2,30.0,10.0,3.0,4.25,4.0,0.25,1,100.0,2,10.5,11.5,0.89,0.77,0.84,2.0,2.0,1,1,111392,,0.0,30.0,3.0,4.25,4.0,0.25,0.0,2.0,10.5,11.5,1.0,0.8,1.81,2.0,2.0,38.0,18.0,-20.0,-0.7142857142857143,0.0,0.0,0.0,0,0,0,0,1,2.5,3.6100000000000003,1.1100000000000003,0,0.7894736842105263,0.0,1,0,PA STORE
50,443,4,0,0,0,0,0,1,0,0,0,4.0,19.0,4.0,4.25,4.0,0.25,0,95.0,2,10.5,11.5,0.89,0.79,1.8,2.0,2.0,1,1,111392,,5.0,20.0,4.0,4.35,17.0,0.18,0.0,2.0,10.5,11.5,1.0,0.8,1.81,2.0,2.0,17.5,19.0,1.5,0.0821917808219178,0.09999999999999964,0.0235294117647058,0.0,0,0,0,0,1,3.4800000000000004,3.6100000000000003,0.1299999999999999,0,0.22857142857142856,0.2631578947368421,1,0,PA STORE
51,444,4,0,0,0,0,0,1,0,0,2,12.0,20.0,3.0,4.25,19.0,0.37,0,,2,10.5,12.5,0.89,0.8,0.84,2.0,2.0,1,1,111392,,10.0,35.0,4.0,4.5,4.0,0.3,0.0,2.0,10.5,11.5,0.89,,0.79,2.0,2.0,25.0,31.5,6.5,0.23008849557522124,0.25,0.058823529411764705,0.0,0,0,0,0,1,2.53,,,0,0.48,0.31746031746031744,1,0,PA STORE
52,446,1,0,0,0,0,0,0,1,0,2,,,3.0,4.5,4.0,0.25,0,50.0,2,6.0,18.0,1.03,0.84,0.94,,,1,1,110792,,7.0,24.0,4.0,5.0,4.0,0.25,1.0,2.0,6.0,18.0,0.97,0.84,0.91,4.0,3.0,,23.0,,,0.5,0.1111111111111111,0.0,0,1,0,0,0,2.81,2.72,-0.08999999999999986,0,,0.30434782608695654,0,0,PA STORE
53,448,1,0,0,0,0,0,0,1,0,0,8.0,18.0,4.0,4.75,4.0,0.25,1,78.0,2,6.0,18.0,0.97,0.84,0.91,3.0,3.0,1,1,111892,1.0,8.0,27.0,3.0,4.5,13.0,0.25,0.0,2.0,6.0,18.0,0.96,0.83,0.87,3.0,3.0,21.0,24.5,3.5,0.15384615384615385,-0.25,-0.05263157894736842,0.0,0,1,0,0,0,2.72,2.66,-0.06000000000000005,0,0.38095238095238093,0.32653061224489793,0,0,PA STORE
54,449,1,0,0,0,0,0,0,1,0,2,0.0,25.0,3.0,4.87,3.5,,0,3.0,2,6.0,18.0,,,,4.0,4.0,1,1,110792,,15.0,15.0,5.0,5.0,52.0,0.25,0.0,2.0,6.0,18.0,0.97,0.84,0.73,3.0,3.0,15.5,27.5,12.0,0.5581395348837209,0.1299999999999999,0.026694045174537964,0.0,0,1,0,0,0,,2.54,,0,0.0,0.5454545454545454,0,0,PA STORE
